IdUsuario,NombreUsuario,SaldoCartera,CorreoElectronico,NumeroCelular
0,Li Wei Sofia Ahmed Rahman,213.09847022081493,Li_Wei_Sofia_Ahmed_Rahman0@yandex.com,+55634031186
1,Antonio Aisha García Lee,17.41756536475505,Antonio_Aisha_García_Lee0@mail.com,+91522646000
2,Mei Ling Natalya Santos Schmidt,13.272146702871115,Mei_Ling_Natalya_Santos_Schmidt0@hotmail.com,+27050984114
3,Ayana Lucia Lee Nguyen,19.109747389236816,Ayana_Lucia_Lee_Nguyen0@yahoo.com,+49308229768
4,Natalia González Wojciechowski,4.456226322101216,Natalia_González_Wojciechowski0@gmx.com,+7658854836
5,Natalya Tariq Rahman,16.22550270794315,Natalya_Tariq_Rahman0@aol.com,+358548926023
6,Isabella Yuki Ono Fernandez,7.169701947652463,Isabella_Yuki_Ono_Fernandez0@protonmail.com,+49284043715
7,Natalya Silva,15.558392500312053,Natalya_Silva0@yahoo.com,+84144201003
8,Jin Soo Gisele García Santos,3.89764757604439,Jin_Soo_Gisele_García_Santos0@hotmail.com,+84971237440
9,Gisele Sokolov Alves,17.9490239033262,Gisele_Sokolov_Alves0@zoho.com,+62703514452
10,Lucia Cohen Patel,8.776422689099878,Lucia_Cohen_Patel0@icloud.com,+48778800642
11,Ahmed Natalia Adichie Adichie,4.391742866466142,Ahmed_Natalia_Adichie_Adichie0@me.com,+55514587375
12,Ingrid Costa Papadakis,403.042034892738,Ingrid_Costa_Papadakis0@protonmail.com,+971649302483
13,Sofia García Suleiman,19.58658554685858,Sofia_García_Suleiman0@zoho.com,+44899310059
14,Abdul Yuki O'Reilly Khan,25.806969483533017,Abdul_Yuki_O'Reilly_Khan0@zoho.com,+39994290423
15,Esmeralda López Rodriguez,0.9047948791276283,Esmeralda_López_Rodriguez0@zoho.com,+84958135289
16,Li Wei Kwabena Rahman Petrov,71.40098724671742,Li_Wei_Kwabena_Rahman_Petrov0@live.com,+81921778668
17,María Isabella Costa,5.703597152323351,María_Isabella_Costa0@zoho.com,+7862151789
18,Kwame Kowalski Pérez,16.608459430736488,Kwame_Kowalski_Pérez0@me.com,+82714508742
19,Esmeralda Isabella Brown López,2.09718398726298,Esmeralda_Isabella_Brown_López0@gmail.com,+27365864095
20,Jin Soo Ingrid Yamamoto Schmidt,19.197376478851943,Jin_Soo_Ingrid_Yamamoto_Schmidt0@gmx.com,+44034218758
21,Ahmed Rahman,7.341103193815805,Ahmed_Rahman0@me.com,+52972214198
22,Tariq Malik Müller,24.01764387307427,Tariq_Malik_Müller0@zoho.com,+971739499835
23,Isabella Emeka Abdi López,5.152919195699461,Isabella_Emeka_Abdi_López0@gmail.com,+91404134133
24,Tariq Pérez Kim,27.595230265862273,Tariq_Pérez_Kim0@me.com,+7004656189
25,Sven Malik Chandra Khan,5.165676814665474,Sven_Malik_Chandra_Khan0@aol.com,+27867255989
26,Natalia Jin Soo Al-Mansouri Novak,3.817253608041984,Natalia_Jin_Soo_Al-Mansouri_Novak0@hotmail.com,+44323113151
27,Abdul Ahmed Fernández,17.597616640726407,Abdul_Ahmed_Fernández0@live.com,+44932626221
28,Amir Santos Kim,1.1770477571367763,Amir_Santos_Kim0@mail.com,+82921027631
29,Amir Natalia Lee Rodriguez,666529.6781879218,Amir_Natalia_Lee_Rodriguez0@yandex.com,+33322758221
30,Emeka Costa Ito,385.6929058878119,Emeka_Costa_Ito0@hotmail.com,+62223523816
31,Yasin Pérez,9.707182846811882,Yasin_Pérez0@outlook.com,+44959167857
32,Li Wei Ahmed Nguyen,38.720518547476956,Li_Wei_Ahmed_Nguyen0@icloud.com,+44203040873
33,Antonio Sokolov Patel,14.344325181857648,Antonio_Sokolov_Patel0@yandex.com,+62905212117
34,Ingrid Alves Andersson,5.689284027181259,Ingrid_Alves_Andersson0@yahoo.com,+91590275609
35,Hiroshi Kwame García,1.5953988524464613,Hiroshi_Kwame_García0@mail.com,+39998130958
